qtr,date,gdp_value,tourism_arrivals,gdp_growth_%,tourism_growth_%
2020Q1,2020-03-31 23:59:59.999999999,1359706.4,5985414,,
2020Q2,2020-06-30 23:59:59.999999999,1137301.0,43759,-16.3568693947458,-99.26890604392612
2020Q3,2020-09-30 23:59:59.999999999,1397481.8,65216,22.877039587585003,49.03448433465116
2020Q4,2020-12-31 23:59:59.999999999,1419511.6,77619,1.576392622787659,19.01833905789989
2021Q1,2021-03-31 23:59:59.999999999,1356977.535,111610,-4.405322577145565,43.792112755897406
2021Q2,2021-06-30 23:59:59.999999999,1332291.3530000001,102921,-1.8192034402396917,-7.785144700295676
2021Q3,2021-09-30 23:59:59.999999999,1330991.779,98006,-0.09754427941558452,-4.775507428027326
2021Q4,2021-12-31 23:59:59.999999999,1473226.048,158022,10.686337154303338,61.237067118339695
2022Q1,2022-03-31 23:59:59.999999999,1428811.004,237767,-3.0148152797254912,50.464492285884255
2022Q2,2022-06-30 23:59:59.999999999,1465700.894,3030963,2.581859314963686,1174.7618466818356
2022Q3,2022-09-30 23:59:59.999999999,1538783.081,5408446,4.986159679588753,78.4398555838524
2022Q4,2022-12-31 23:59:59.999999999,1584170.023,6471336,2.9495347694169283,19.6524103226694
2023Q1,2023-03-31 23:59:59.999999999,1512594.209,6670381,-4.518190153886026,3.0757945499970907
2023Q2,2023-06-30 23:59:59.999999999,1505026.557,7098256,-0.5003094653524442,6.4145511328363325
2023Q3,2023-09-30 23:59:59.999999999,1586175.44,8249713,5.391857214915574,16.221688820465197
2023Q4,2023-12-31 23:59:59.999999999,1628039.864,5319448,2.6393312457290374,-35.51959928787826
