qtr,date,gdp_tourism_value,tourism_arrivals,gdp_tourism_growth_%,tourism_growth_%
2020Q1,2020-03-31 23:59:59.999999999,42177.3,5985414,,
2020Q2,2020-06-30 23:59:59.999999999,28022.1,43759,-33.56118101443194,-99.26890604392612
2020Q3,2020-09-30 23:59:59.999999999,36289.2,65216,29.502071579217827,49.03448433465116
2020Q4,2020-12-31 23:59:59.999999999,35435.9,77619,-2.3513882918333673,19.01833905789989
2021Q1,2021-03-31 23:59:59.999999999,34294.817,111610,-3.2201326902942973,43.792112755897406
2021Q2,2021-06-30 23:59:59.999999999,33237.483,102921,-3.083072290486355,-7.785144700295676
2021Q3,2021-09-30 23:59:59.999999999,31834.226,98006,-4.2219111477244,-4.775507428027326
2021Q4,2021-12-31 23:59:59.999999999,37887.8,158022,19.01592958471805,61.237067118339695
2022Q1,2022-03-31 23:59:59.999999999,40464.93,237767,6.802004867002043,50.464492285884255
2022Q2,2022-06-30 23:59:59.999999999,42023.242,3030963,3.8510186475053887,1174.7618466818356
2022Q3,2022-09-30 23:59:59.999999999,43359.22,5408446,3.1791407240783665,78.4398555838524
2022Q4,2022-12-31 23:59:59.999999999,44176.259,6471336,1.8843489343212338,19.6524103226694
2023Q1,2023-03-31 23:59:59.999999999,45056.876000000004,6670381,1.9934168712656408,3.0757945499970907
2023Q2,2023-06-30 23:59:59.999999999,45573.457,7098256,1.1465086927020751,6.4145511328363325
2023Q3,2023-09-30 23:59:59.999999999,46440.724,8249713,1.9030090256264787,16.221688820465197
2023Q4,2023-12-31 23:59:59.999999999,47334.958,5319448,1.925538456291065,-35.51959928787826
