Quarter,Year,GDP,Tourist_Arrivals
2020-01-01,2020,344690.0,5985414
2020-04-01,2020,290686.0,43759
2020-07-01,2020,352137.0,65216
2020-10-01,2020,358736.0,77619
2021-01-01,2021,343912.379,111610
2021-04-01,2021,338160.18,102921
2021-07-01,2021,337421.281,98006
2021-10-01,2021,371388.111,158022
2022-01-01,2022,361334.789,237767
2022-04-01,2022,369428.932,3030963
2022-07-01,2022,386819.905,5408446
2022-10-01,2022,398919.128,6471336
2023-01-01,2023,381856.973,6670381
2023-04-01,2023,379286.332,7098256
2023-07-01,2023,398768.199,8249713
2023-10-01,2023,410230.92,5319448
